"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"4";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED1, LED2, LED3, LED4";"LED";"";"";"";"";
"2";"";"PINHD-1X4";"1X04";"JP1, JP2";"PIN HEADER";"";"";"";"";
"1";"";"SI-60062-F";"SI-60062-F";"X3";"";"";"";"";"";
"1";"0";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";
"3";"100k";"R-EU_R0603";"R0603";"R2, R3, R12";"RESISTOR, European symbol";"";"";"";"";
"17";"100n";"C-EUC0603";"C0603";"C1, C8, C9, C10, C13, C14, C15, C16, C17, C18, C19, C20, C22, C23, C25, C26, C27";"CAPACITOR, European symbol";"";"";"";"";
"1";"10n";"C-EUC0603";"C0603";"C5";"CAPACITOR, European symbol";"";"";"";"";
"1";"10u";"C-EUC0805";"C0805";"C24";"CAPACITOR, European symbol";"";"";"";"";
"2";"15p";"C-EUC0603";"C0603";"C11, C28";"CAPACITOR, European symbol";"";"";"";"";
"1";"1k5";"R-EU_R0603";"R0603";"R13";"RESISTOR, European symbol";"";"";"";"";
"3";"1u";"C-EUC0603";"C0603";"C4, C6, C7";"CAPACITOR, European symbol";"";"";"";"";
"2";"22";"R-EU_R0603";"R0603";"R11, R14";"RESISTOR, European symbol";"";"";"";"";
"2";"220";"R-EU_R0603";"R0603";"R8, R9";"RESISTOR, European symbol";"";"";"";"";
"2";"2k2";"4R-NCAT16";"CAT16";"RN2, RN4";"Array Chip Resistor";"";"";"unknown";"unknown";
"3";"2k2";"R-EU_R0603";"R0603";"R7, R10, R15";"RESISTOR, European symbol";"";"";"";"";
"2";"2u2";"C-EUC0805";"C0805";"C2, C3";"CAPACITOR, European symbol";"";"";"";"";
"4";"330";"R-EU_R0603";"R0603";"R18, R19, R22, R23";"RESISTOR, European symbol";"";"";"";"";
"1";"47";"R-EU_R0603";"R0603";"R5";"RESISTOR, European symbol";"";"";"";"";
"1";"47589-0001";"47589-0001";"47589-0001";"X2";"";"";"";"";"";
"1";"4k87";"R-EU_R0603";"R0603";"R6";"RESISTOR, European symbol";"";"";"";"";
"2";"4u7";"C-EUC0805";"C0805";"C12, C21";"CAPACITOR, European symbol";"";"";"";"";
"3";"51";"4R-NCAT16";"CAT16";"RN1, RN3, RN5";"Array Chip Resistor";"";"";"unknown";"unknown";
"1";"ASE 50MHz";"ASE";"ASE";"OSC2";"3.3Vdc CMOS SMD CRYSTAL CLOCK OSCILLATOR";"";"";"unknown";"unknown";
"1";"ASE 8MHz";"ASE";"ASE";"OSC1";"3.3Vdc CMOS SMD CRYSTAL CLOCK OSCILLATOR";"";"";"unknown";"unknown";
"1";"DP83848C";"DP83848C";"LQFP48";"U2";"";"";"";"";"";
"1";"FTSH-105";"FTSH-105";"FTSH-105";"X6";"";"";"";"";"";
"1";"LD3985XX";"LD3985XX";"SOT23-5L";"U3";"";"";"";"";"";
"1";"MAX3051";"MAX3051";"SOT23-8L";"U4";"";"";"";"";"";
"1";"MICROMATCH-4";"MICROMATCH-4";"MICROMATCH-4";"X1";"MicroMaTch 4";"";"";"";"";
"1";"PTC";"R-EU_R0603";"R0603";"R4";"RESISTOR, European symbol";"";"";"";"";
"2";"RJ45-43860";"RJ45-43860";"0438600010";"X4, X5";"";"";"";"";"";
"1";"STM32F407VG";"STM32F407VG";"LQFP100";"U1";"";"";"";"";"";
